positiveIncrease
0
0
0
0
0
0
0
1
0
0
1
2
1
1
0
3
1
1
0
3
1
1
0
3
7
7
15
9
10
13
11
13
16
26
31
29
27
40
24
89
82
100
187
153
141
220
267
367
441
527
682
1025
915
1251
1569
3613
3171
4671
6255
6885
9259
11442
10632
12873
17656
19044
19724
19655
21897
24694
25773
27992
31945
33252
25550
28937
30737
30534
34419
34351
30561
27844
25133
25631
30298
30923
31964
27963
27468
25872
26333
28916
31784
34174
35901
27380
22605
25219
26590
29619
33056
29185
25767
22523
22449
25056
27490
27605
24810
21504
18236
22663
21193
26705
24710
24701
20171
20992
20853
21319
26513
24555
21590
20105
18798
16629
19385
22601
23522
23762
21639
20415
19982
20312
20839
23352
23106
18823
17012
17175
20803
22032
23477
25341
21373
18510
23435
23873
27527
31046
31994
27284
27017
33021
38684
39072
44421
43783
41857
39175
47462
50674
53826
54223
54734
45789
41600
51766
62147
58836
66645
63007
60978
58465
62879
65382
70953
77233
65180
63907
57948
